Order of First PIGY Receipt,From Address,To Address,PIGY,Transaction,Order of Transactions
1,addr1v9e06msz5r2kn2ae2c5rzjdx02na5tcdar3nxuylags709c5u7vvf,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g," 25 000 000 000",177c24736d23a29830d87a92fe56c2b05a729008f5b7d2bc01d23509e399ae99#0,6960823
1,addr1v9e06msz5r2kn2ae2c5rzjdx02na5tcdar3nxuylags709c5u7vvf,pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq," 25 000 000 000",7eb7fdaaaee613e1fe519ef8f8f47b75ea6e53312919c9739f7f46f404913432#0,6961037
1,addr1v9e06msz5r2kn2ae2c5rzjdx02na5tcdar3nxuylags709c5u7vvf,stake1uyupafyrlu0wp06y9xh8rlhf42zrw2t05lkedfth06sgncqm4jyu7," 30 000 000 000",60e3b1088183af95876141c6bedae57374ebade0008fa2e5348b4c79c61a99a3#0,7015343
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1u8kwjhecye8eglhedmftenvq06ytwkm80z6hk8tz0q68j2g0la70g,"     50 000 000",92f4a5b696a94cba21aa69f06219b9686ea1b268558a650dad95e695a6f0e795#0,7008502
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1u9qumrht905fduqudrzllyerfhf9le8c5ea0yqgs2rnfsgclme7gc,"     10 000 000",0ec225a27a0858adecf445b41e58416b1d9ea40112976143ae982a02fe293c0b#0,7009593
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1uxemkedj87het0dcjtdzlflfcpjlsvlxhqxxaljegxffxuc35qf3w,"     10 000 000",59117f89d8daff8811aacbd6b49c0124f8213011a89b6b7d738f1e67abb1605b#0,7009727
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1u8qe0cmhvarxwjc4l2hlp44a6k26qkjlxfp5pfynffjylpserwury,"     10 000 000",70ea540103bf84c7ee72926bcb410157ca27d88467f80edda7ef8fdb70ff10a0#0,7010348
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1ux2hx5zewkeae5v7c6anxg4akdn3dxmm3evhr8w7juzht8sy34gxu,"     20 000 000",fa80d5b4c615388b02f3ed189426135f987d270731ebc533384a2eba299a5ac7#0,7011678
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1u8gmuh9ekct7dm062ps5lypemsh0324y0alleelcawuhktsuznts6,"     10 000 000",75b3bfedb6980a21b26f73d8c7b81c86c0b501ab4f603772da7fa014701df3a3#0,7011755
2,stake1u858drnydl2fg8e2kfnhhzg7j8lam39nsj5xr3wmcuzdg9sq8q44g,stake1uxegk76zsyh5sh7pnn4rr6a776zgfekex88ukanc8d0lm7qssgr88,"     10 000 000",c5ad4b1ae2d1539cc2a5cc457f946c6dc893c4d474c57afca0b33a6e947c25c6#0,7011961
